month,event,spend_type,duration,fraction_converted,doses,start_pct,end_pct,threshold_notes
6,Scheduled monthly dose (early June),dose,1 dose,,1,61.0,69.0,
6,Exile Island extraction #12 — SE Asia regime (ch14 seed),extraction,13 min @20 m,0.0310,,69.0,66.8,
6,CHECK — topology ch17: 'was 68% last week',anchor,,,,66.8,66.8,
6,Junta op — 8 generals in ONE freeze (ch15b seed) — 30 min @40 m (extractions #13-20),extraction,30 min @40 m,0.1352,,66.8,57.8,
6,Exile Island extraction #21 — '7 translocations in 5 days' (ch17),extraction,13 min @20 m,0.0310,,57.8,56.0,
6,Exile Island extraction #22 — '7 translocations in 5 days' (ch17),extraction,13 min @20 m,0.0310,,56.0,54.3,
6,Exile Island extraction #23 — '7 translocations in 5 days' (ch17),extraction,13 min @20 m,0.0310,,54.3,52.6,
6,Exile Island extraction #24 — '7 translocations in 5 days' (ch17),extraction,13 min @20 m,0.0310,,52.6,51.0,
6,Exile Island extraction #25 — '7 translocations in 5 days' (ch17),extraction,13 min @20 m,0.0310,,51.0,49.4,crosses <50 CONCERNING
6,CHECK — topology ch17 eavesdrop: '54%',anchor,,,,49.4,49.4,<50 CONCERNING
6,Treatment given at the ch17 scene (emergency),dose,1 dose,,1,49.4,57.4,recrosses >=50
7,"Exile Island extraction #26 — '3 translocations today' (ch19, the Friday)",extraction,13 min @20 m,0.0310,,57.4,55.6,
7,"Exile Island extraction #27 — '3 translocations today' (ch19, the Friday)",extraction,13 min @20 m,0.0310,,55.6,53.9,
7,"Exile Island extraction #28 — '3 translocations today' (ch19, the Friday)",extraction,13 min @20 m,0.0310,,53.9,52.2,
7,ANCHOR — ch19 discovery (Ruth + Ryu): topology says 53.1%,anchor,,,,52.2,52.2,
7,Scheduled monthly maintenance dose (Jul) — no emergency top-offs after ch18's limit [ASSUMED],dose,1 dose,,1,52.2,60.2,
7,"Continued global intervention (Jul), Jakarta-class — 50 min @30 m [ASSUMED cadence; topology: 'continued ops between Ch19-22']",op,50 min @30 m,0.1660,,60.2,50.2,
7,"Continued global intervention (Jul), mid-size — 40 min @20 m [ASSUMED]",op,40 min @20 m,0.0923,,50.2,45.6,crosses <50 CONCERNING
8,Scheduled monthly maintenance dose (Aug) — no emergency top-offs after ch18's limit [ASSUMED],dose,1 dose,,1,45.6,53.6,recrosses >=50
8,"Continued global intervention (Aug), Jakarta-class — 50 min @30 m [ASSUMED cadence; topology: 'continued ops between Ch19-22']",op,50 min @30 m,0.1660,,53.6,44.7,crosses <50 CONCERNING
8,"Continued global intervention (Aug), mid-size — 40 min @20 m [ASSUMED]",op,40 min @20 m,0.0923,,44.7,40.6,<50 CONCERNING
9,Scheduled monthly maintenance dose (Sep) — no emergency top-offs after ch18's limit [ASSUMED],dose,1 dose,,1,40.6,48.6,<50 CONCERNING
9,"Continued global intervention (Sep), Jakarta-class — 50 min @30 m [ASSUMED cadence; topology: 'continued ops between Ch19-22']",op,50 min @30 m,0.1660,,48.6,40.5,<50 CONCERNING
9,"Continued global intervention (Sep), mid-size — 40 min @20 m [ASSUMED]",op,40 min @20 m,0.0923,,40.5,36.8,<50 CONCERNING
9,CHECK — topology ch22 (late Month 9): 'Ahdia returns <10%',anchor,,,,36.8,36.8,<50 CONCERNING
10,Scheduled monthly maintenance dose (Oct) — no emergency top-offs after ch18's limit [ASSUMED],dose,1 dose,,1,36.8,44.8,<50 CONCERNING
10,"Continued global intervention (Oct), Jakarta-class — 50 min @30 m [ASSUMED cadence; topology: 'continued ops between Ch19-22']",op,50 min @30 m,0.1660,,44.8,37.3,<50 CONCERNING
10,"Continued global intervention (Oct), mid-size — 40 min @20 m [ASSUMED]",op,40 min @20 m,0.0923,,37.3,33.9,<50 CONCERNING
11,"Scheduled monthly dose (Nov, before the manhunt)",dose,1 dose,,1,33.9,41.9,<50 CONCERNING
11,"Manhunt — penthouse-escape freeze (ch23), ~10 min @15 m",freeze,10 min @15 m,0.0180,,41.9,41.1,<50 CONCERNING
11,"Manhunt — chase-week freezes, cumulative (ch23 'Ahdia freezes'), ~20 min @15 m",freeze,20 min @15 m,0.0356,,41.1,39.7,<50 CONCERNING
11,END OF MONTH 11 — pre-endgame level,anchor,,,,39.7,39.7,<50 CONCERNING
12,"Translocation, 800 miles, 8 people — FAERIS; costs NO baseline (#16)",faeris,,,,39.7,39.7,<50 CONCERNING
12,"Reactor freeze 10 m 47 s — TIER 2 (opposing quantum field): 31.2% of remaining per minute (M=516x), FIT to land 0.7",freeze_T2,10m47s,0.9824,,39.7,0.7,crosses <1 TRANSCENDENCE RISK
12,Emergency stabilisation after the freeze — CLINICAL only; no ledger add (else 0.7 cannot hold; see UNRULED),anchor,,,,0.7,0.7,<1 TRANSCENDENCE RISK
